version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement
frozen,CygOB2-C,MIST,3.0,2.3,1.0902762536472324e-08,5.355613402524917,0.3965014577259473,0.00115,-3.2736126288425,False,False
frozen,CygOB2-C,MIST,3.0,2.6,1.8308542463920574e-07,4.664567633864443,0.7040000000000001,0.07955,-1.7312439460919973,False,False
frozen,CygOB2-C,MIST,3.1,2.0,1.3137439478985705e-09,5.86431915597047,0.3287230320699708,5e-05,-3.9182279737523227,False,False
frozen,CygOB2-C,MIST,3.1,2.3,2.2560611508634102e-07,4.9356120758455395,0.7040000000000001,0.02235,-2.2783903752680086,False,False
frozen,CygOB2-C,MIST,3.1,2.6,6.259550090817902e-07,4.295570653733752,0.9571545189504373,0.4706,-0.7116360517710314,False,False
frozen,CygOB2-C,MIST,3.5,2.0,5.606475722450567e-14,7.359179845759209,0.9571545189504373,0.0023,-3.0187473933038467,False,False
frozen,CygOB2-C,MIST,3.5,2.3,5.43128038000633e-12,6.429020301622987,0.8717434402332361,0.1682,-1.3767665577518797,False,False
frozen,CygOB2-C,MIST,3.5,2.6,5.048264608658181e-12,5.788405561310745,0.8717434402332361,0.818,0.22639685772732318,False,False
frozen,CygOB2-C,PARSEC,3.0,2.0,1.6116603703599453e-13,7.429694210875614,0.6227871720116619,4.999750012499375e-05,-4.325468043079634,False,False
frozen,CygOB2-C,PARSEC,3.0,2.3,1.5061256374875978e-10,6.468187189583723,0.7040000000000001,0.0053,-2.7337486030273124,False,False
frozen,CygOB2-C,PARSEC,3.0,2.6,2.1386806323061275e-09,5.804222333608269,0.8717434402332361,0.2129,-1.2289231199003565,False,False
frozen,CygOB2-C,PARSEC,3.1,2.0,1.3019779332572448e-16,8.14201232892103,0.9571545189504373,5e-05,-4.120618849164839,False,False
frozen,CygOB2-C,PARSEC,3.1,2.3,1.4249372842872335e-13,7.171089813194513,0.9571545189504373,0.01195,-2.5105014360396,False,False
frozen,CygOB2-C,PARSEC,3.1,2.6,1.8448374939022243e-12,6.490126522192934,0.8717434402332361,0.3188,-0.9786170611990905,False,False
frozen,CygOB2-C,PARSEC,3.5,2.0,1.0451749676519565e-10,4.712166267998485,0.3965014577259473,0.00035,-3.5965271019108176,False,False
frozen,CygOB2-C,PARSEC,3.5,2.3,3.3782628954085276e-09,4.689174148818185,0.4684781341107872,0.03245,-2.1407489806307898,False,False
frozen,CygOB2-C,PARSEC,3.5,2.6,2.7755376382228318e-09,4.592970187297208,0.4684781341107872,0.45695,-0.7323353125378831,False,False
repair_v1,CygOB2-A,MIST,3.0,2.0,0.025373014347119766,2.8012520911211687,0.3287230320699708,0.00975,-2.566694750746969,True,False
repair_v1,CygOB2-A,MIST,3.0,2.3,0.16274202729043066,2.0862033853359248,0.3287230320699708,0.24625,-1.129516731090891,True,True
repair_v1,CygOB2-A,MIST,3.0,2.6,0.10709221447755508,1.8015115144444724,0.6227871720116619,0.80195,0.24096623690204988,True,True
repair_v1,CygOB2-A,MIST,3.1,2.0,0.20053045634639063,1.7916279250363134,0.26570262390670546,0.06845,-1.7997645829804079,True,True
repair_v1,CygOB2-A,MIST,3.1,2.3,0.3975768259244078,1.4208658492791562,0.4684781341107872,0.71695,-0.34858371815839584,True,True
repair_v1,CygOB2-A,MIST,3.1,2.6,0.09432092470381134,1.9408939621320918,0.26570262390670546,0.2836,1.038388691697637,True,True
repair_v1,CygOB2-A,MIST,3.5,2.0,0.8964035611976466,0.9252645800378427,0.9571545189504373,0.8623,0.1698747841778997,True,True
repair_v1,CygOB2-A,MIST,3.5,2.3,0.2869922546142272,1.6724089840001481,0.07239650145772594,0.09775,1.6366781267836779,True,True
