subgroup,family,R_V,f_bin,indicator,dmu,n_stars,measurable,grid_railed,exclusion_reason,age_map,age_lo68,age_hi68,age_lo90,age_hi90
CygOB2-B,PARSEC,3.5,0.5,ums,0.0,351,True,False,,3.548133892335755,3.514925032610555,3.5894275825272186,3.4917083492493104,3.6158611834521297
CygOB2-B,PARSEC,3.5,0.5,pms,0.0,19,True,False,,5.011872336272724,4.76368542589172,5.5218845013289695,4.43715065737619,6.0585013250871365
CygOB2-C,PARSEC,3.5,0.5,ums,0.0,400,True,False,,3.1622776601683795,3.1490158212738106,3.2302029770050424,3.1316822258050125,3.2652002475195885
CygOB2-C,PARSEC,3.5,0.5,pms,0.0,1,False,True,n_stars_below_15;grid_railed,10.0,2.2142106877891874,8.332859051996865,1.389538456852964,9.482487989279193
CygOB2-A,MIST,3.5,0.3,ums,0.0,374,True,False,,4.500388435263084,4.433173261478209,4.505657943547936,4.401725685487933,4.5189773023837825
CygOB2-A,MIST,3.5,0.3,pms,0.0,11,False,False,n_stars_below_15,5.672179944867402,4.343452558602933,5.867731394249567,3.74891925104302,6.2859184999732465
CygOB2-B,MIST,3.5,0.3,ums,0.0,351,True,False,,3.570672345572628,3.561098866869689,3.6741869183006513,3.540681847804043,3.724520344819461
CygOB2-B,MIST,3.5,0.3,pms,0.0,19,True,False,,5.672179944867402,3.8473942052772028,5.692652613498989,3.560839048326303,6.000814274961973
CygOB2-C,MIST,3.5,0.3,ums,0.0,400,True,False,,3.570672345572628,3.4490194334333544,3.571268990944172,3.396038028795117,3.5899984945885532
CygOB2-C,MIST,3.5,0.3,pms,0.0,1,False,True,n_stars_below_15;grid_railed,10.115794542598982,2.007643085862321,8.3714513724103,1.3096402861964946,9.574382696093638
CygOB2-A,MIST,3.5,0.4,ums,0.0,374,True,False,,4.500388435263084,4.439535663242856,4.506814555467502,4.4106685591514,4.519696999079702
CygOB2-A,MIST,3.5,0.4,pms,0.0,11,False,False,n_stars_below_15,5.672179944867402,4.415383456016152,5.896278723580829,3.8265499363545072,6.320741225265557
CygOB2-B,MIST,3.5,0.4,ums,0.0,351,True,False,,3.570672345572628,3.5645854519381506,3.694125831859718,3.5433251906856373,3.7527494992630985
CygOB2-B,MIST,3.5,0.4,pms,0.0,19,True,False,,5.672179944867402,3.978712012880838,5.787421337673112,3.657592832834469,6.092089596758828
CygOB2-C,MIST,3.5,0.4,ums,0.0,400,True,False,,3.570672345572628,3.4650378454207735,3.5740040410084215,3.4180459812262636,3.591804041468231
CygOB2-C,MIST,3.5,0.4,pms,0.0,1,False,True,n_stars_below_15;grid_railed,10.115794542598982,2.0511465231541823,8.402968026842176,1.324768840882905,9.587793507347216
CygOB2-A,MIST,3.5,0.5,ums,0.0,374,True,False,,4.500388435263084,4.444221434537171,4.507661015419621,4.417287621976334,4.520224463867243
CygOB2-A,MIST,3.5,0.5,pms,0.0,11,False,False,n_stars_below_15,5.672179944867402,4.47021439869821,5.92512743367979,3.8901416514958687,6.356203249561514
CygOB2-B,MIST,3.5,0.5,ums,0.0,351,True,False,,3.570672345572628,3.5694313622085576,3.7254319281154697,3.546551124757031,3.797205859584445
CygOB2-B,MIST,3.5,0.5,pms,0.0,19,True,False,,5.672179944867402,4.1310184688846165,5.866126713522493,3.7580777748437604,6.180725335676088
CygOB2-C,MIST,3.5,0.5,ums,0.0,400,True,False,,3.570672345572628,3.475687258041923,3.575992471680809,3.432740969219387,3.593399116737811
CygOB2-C,MIST,3.5,0.5,pms,0.0,1,False,True,n_stars_below_15;grid_railed,10.115794542598982,2.1013734160081925,8.435999856469136,1.3429542683720894,9.601753570493091
