scope,subgroup,family,R_V,alpha,sf_duration_Myr,explodability,N_SN_mean,N_SN_median,P_at_least_one,P_last_SN_within_100kyr,t_last_median_Myr,N_SN_p2p5,N_SN_p16,N_SN_p50,N_SN_p84,N_SN_p97p5
subgroup,CygOB2-B,PARSEC,3.5,2.3,2.0,all_explode,2.041015,2.0,0.841091,0.244846,0.20356841817966442,0.0,1.0,2.0,4.0,6.0
subgroup,CygOB2-B,PARSEC,3.5,2.3,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.3,2.0,all_explode,0.0331905,0.0,0.0320645,0.0234915,0.05811051697071079,0.0,0.0,0.0,0.0,1.0
subgroup,CygOB2-C,PARSEC,3.5,2.3,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.6,0.0,all_explode,1.3899915,1.0,0.7416885,0.15918,0.27495860111433235,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.5,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.5,2.6,0.0,all_explode,0.5354725,0.0,0.377906,0.1229105,0.1739537263420632,0.0,0.0,0.0,1.0,3.0
subgroup,CygOB2-B,PARSEC,3.5,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.6,0.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.6,1.0,all_explode,1.401186,1.0,0.7454585,0.1558415,0.28198745431241035,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.5,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.5,2.6,1.0,all_explode,0.588474,0.0,0.4191275,0.116487,0.20649839099833,0.0,0.0,0.0,1.0,3.0
subgroup,CygOB2-B,PARSEC,3.5,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.6,1.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.5,2.6,2.0,all_explode,1.4608255,1.0,0.760727,0.1476385,0.3237246956718731,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.5,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.5,2.6,2.0,all_explode,0.7383385,1.0,0.5050455,0.1013045,0.30096910390175813,0.0,0.0,1.0,2.0,3.0
subgroup,CygOB2-B,PARSEC,3.5,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.6,2.0,all_explode,0.0096155,0.0,0.0094965,0.007048,0.056552548548349346,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.5,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,MIST,3.0,2.0,0.0,all_explode,10.4966185,10.0,0.9999615,0.5491585,0.08625966907438887,5.0,7.0,10.0,14.0,18.0
subgroup,CygOB2-A,MIST,3.0,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,MIST,3.0,2.0,0.0,all_explode,9.984007,10.0,0.999933,0.5298335,0.09093843721142658,4.0,7.0,10.0,13.0,17.0
subgroup,CygOB2-B,MIST,3.0,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,MIST,3.0,2.0,0.0,all_explode,7.0260895,7.0,0.998457,0.407302,0.12623439428019778,2.0,4.0,7.0,10.0,13.0
subgroup,CygOB2-C,MIST,3.0,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,MIST,3.0,2.0,1.0,all_explode,10.7702415,11.0,0.999972,0.5350915,0.0899935299355743,5.0,7.0,11.0,14.0,18.0
subgroup,CygOB2-A,MIST,3.0,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,MIST,3.0,2.0,1.0,all_explode,10.282756,10.0,0.9999435,0.517782,0.09468805167290473,4.0,7.0,10.0,14.0,17.0
