version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement,pi,pi_incumbent,replicate_trend_p_lo68,replicate_trend_p_hi68,replicate_max_abs_lo68,replicate_max_abs_hi68,indeterminate,indeterminate_incumbent
repair_v4,CygOB2-B,PARSEC,3.0,2.6,0.005309959252334809,3.152446337849135,0.1561749271137024,0.03685,-2.107702278667046,False,False,0.5,0.7275,0.007844000000000002,0.19056799999999985,1.6392432368256453,2.7059902215528036,True,True
repair_v4,CygOB2-B,PARSEC,3.1,2.0,0.003774149396051432,2.569479638607293,0.07239650145772594,0.00075,-3.352064639386161,False,False,0.0,0.475,0.00035,0.0027659999999999968,1.8613649906880878,2.3180154082241042,False,True
repair_v4,CygOB2-B,PARSEC,3.1,2.3,0.02289039910184634,2.5129375169143415,0.11078717201166179,0.0166,-2.395644767794327,True,False,0.2325,0.8925,0.009792,0.05895599999999999,1.5822522904385026,2.1494240988519366,True,True
repair_v4,CygOB2-B,PARSEC,3.1,2.6,0.024164564204013705,2.655038603826816,0.208,0.13545,-1.4944928330969995,True,True,0.915,0.945,0.07215,0.3665119999999998,1.3412983973268382,2.036654357775841,True,True
repair_v4,CygOB2-B,PARSEC,3.5,2.0,6.217531066835731e-05,4.55052728912652,0.04156268221574335,0.0033,-2.8642768817661994,False,False,0.005,0.0275,0.0030420000000000004,0.02728999999999999,3.213969244316558,4.242828141222507,False,False
repair_v4,CygOB2-B,PARSEC,3.5,2.3,0.0002759069010085364,4.534516963519959,0.1561749271137024,0.04405,-2.0165796207812345,False,False,0.1725,0.2,0.028592,0.22473599999999994,2.809479565465586,4.064900587924873,True,True
repair_v4,CygOB2-B,PARSEC,3.5,2.6,0.00014956913241300664,4.735058465946098,0.1561749271137024,0.2305,-1.1889262352167074,False,False,0.3875,0.38,0.130028,0.7368559999999998,2.290889381779704,3.921159381139555,True,True
repair_v4,CygOB2-C,MIST,3.0,2.0,0.8718325531305454,0.9431864632430162,0.7871720116618076,0.8149,0.22842214422935941,True,True,1.0,0.9725,0.6000759999999999,0.9441919999999998,0.5230926709410039,0.9063956636210391,False,False
repair_v4,CygOB2-C,MIST,3.0,2.3,0.33016546013442816,2.0127453042497314,0.11078717201166179,0.15925,1.397967381106274,True,True,0.97,0.7525,0.115408,0.3841659999999998,0.9421739583057607,1.5617765861934554,False,True
repair_v4,CygOB2-C,MIST,3.0,2.6,0.012717234669765671,3.1863874941400625,0.04156268221574335,0.0146,2.4275569945376105,False,False,0.43,0.5,0.01085,0.121108,1.3669805605927667,2.368183700575355,True,True
