family,R_V,alpha,chi2,max_abs_residual,bin2_residual,res_bin0,res_bin1,res_bin2,res_bin3,res_bin4,res_bin5
PARSEC,3.1,1.9,29.009206965445347,3.2724509196829805,3.2724509196829805,1.5939477470582042,2.066369567283005,3.2724509196829805,-0.9702569985608303,-2.287198780675984,-2.3058712950171576
PARSEC,3.1,2.0,26.081598745999813,3.1635366178917903,3.1635366178917903,1.3863697144404714,1.959897744314915,3.1635366178917903,-0.9992887476200081,-2.2094441802257117,-2.1048023834355356
PARSEC,3.1,2.1,23.430138234810297,3.0609145979137673,3.0609145979137673,1.182578329608692,1.8572355924247914,3.0609145979137673,-1.0239708704310346,-2.130319417264404,-1.904297073619057
PARSEC,3.1,2.2,21.04294010166996,2.964402747135437,2.964402747135437,0.9824726180557679,1.758324805012635,2.964402747135437,-1.044387313742673,-2.0499298450255106,-1.7045059866896355
PARSEC,3.1,2.3,18.90862832477196,2.87381548753082,2.87381548753082,0.785951348043454,1.6631029087277638,2.87381548753082,-1.0606244520592858,-1.9683759978651452,-1.5055742308542015
PARSEC,3.1,2.4,17.016316589370135,2.788964232670015,2.788964232670015,0.592913264658615,1.5715036840750674,2.788964232670015,-1.072770502946217,-1.885752986065879,-1.3076407202821363
PARSEC,3.1,2.5,15.35559017899561,2.7096578560361206,2.7096578560361206,0.40325732687113297,1.4834575927685947,2.7096578560361206,-1.0809149508935636,-1.8021499551889562,-1.1108375168972773
PARSEC,3.1,2.6,13.916489455025047,2.6357031654958947,2.6357031654958947,0.21688294562925703,1.3988922069546805,2.6357031654958947,-1.0851479857050275,-1.717649613082299,-0.9152891977048346
PARSEC,3.1,2.7,12.689494994378212,2.5669053789895533,2.5669053789895533,0.03369022106215561,1.3177326357278794,2.5669053789895533,-1.0855599607694786,-1.6323278264776944,-0.7211122505656953
PARSEC,3.1,2.8,11.66551442717587,2.503068596825127,2.503068596825127,-0.14641982306988538,1.2399019447237,2.503068596825127,-1.0822408759116646,-1.546253287976639,-0.5284145016686382
PARSEC,3.1,2.9,10.83587098691425,2.443996266363895,2.443996266363895,-0.32354500943455444,1.1653215649787252,2.443996266363895,-1.0752798888260455,-1.4594872531528926,-0.33729457829853743
PARSEC,3.1,3.0,10.192293755844787,2.3894916353446845,2.3894916353446845,-0.49778178332410844,1.0939116876865154,2.3894916353446845,-1.0647648583942362,-1.3720833465108284,-0.1478414108172292
PARSEC,3.1,3.1,9.726909558641879,2.3393581905981113,2.3393581905981113,-0.669224996468699,1.0255916419342819,2.3393581905981113,-1.0507819224894974,-1.284087434146957,0.039866221975309535
PARSEC,3.1,3.2,9.432236429006197,2.2934000794273524,2.2934000794273524,-0.837967699782144,0.9602802529678034,2.2934000794273524,-1.033415112196913,-1.1955375601792761,0.22576009978370923
PARSEC,3.1,3.3,9.301178547534851,2.2514225114645487,2.2514225114645487,-1.0041009461840522,0.8978961789902455,2.2514225114645487,-1.0127460037381486,-1.1064639433429444,0.4097829157333345
PARSEC,3.1,3.4,9.327022525892291,2.2132321393357612,2.2132321393357612,-1.1677136044666212,0.8383582249442416,2.2132321393357612,-0.9888534087957028,-1.0168890296043251,0.5918885750704647
PARSEC,3.1,3.5,9.503434892865112,2.1786374169702074,2.1786374169702074,-1.328892185000649,0.7815856321488425,2.1786374169702074,-0.9618131033899895,-0.9268275962197785,0.7720424337677138
PARSEC,3.1,3.6,9.824460622970832,2.147448934861005,2.147448934861005,-1.4877206779068575,0.7274983430568712,2.147448934861005,-0.9316975949803089,-0.8362869023572724,0.950221473640025
PARSEC,3.1,3.7,10.284522538426572,2.1194797320165444,2.1194797320165444,-1.6442804041594117,0.6760172407599748,2.1194797320165444,-0.8985759270386598,-0.7452668812025645,1.1264144112268348
PARSEC,3.1,3.8,10.878421410775772,2.0945455847278196,2.0945455847278196,-1.7986498799410324,0.6270643631943249,2.0945455847278196,-0.8625135199861453,-0.6537603683801183,1.300621738496391
PARSEC,3.1,3.9,11.60133658939211,2.0724652726134627,2.0724652726134627,-1.9509046944352026,0.5805630922886219,2.0724652726134627,-0.8235720470829561,-0.5617533615220635,1.47285569435316
PARSEC,3.1,4.0,12.448826990277732,2.1011174011226625,2.053060822688954,-2.1011174011226625,0.5364383185467283,2.053060822688954,-0.7818093436233868,-0.4692253059063426,1.6431401669462231
PARSEC,3.5,1.8,25.52498693805628,3.960681232204739,3.960681232204739,1.4566934890836873,0.11315809854383034,3.960681232204739,-0.11529506119219249,-1.7230270574799718,-2.1728127500015186
PARSEC,3.5,1.9,22.968021790775047,3.8294907142264916,3.8294907142264916,1.271668286342485,0.02489596107150136,3.8294907142264916,-0.16282435089200176,-1.6561995858363094,-1.978826365220923
